video_path,class_name,label,split
/kaggle/input/datasets/alirakhmaev/ucf-crime-full/Burglary/Burglary001_x264.mp4,Burglary,1,train
/kaggle/input/datasets/alirakhmaev/ucf-crime-full/Burglary/Burglary004_x264.mp4,Burglary,1,train
/kaggle/input/datasets/alirakhmaev/ucf-crime-full/Burglary/Burglary005_x264.mp4,Burglary,1,train
/kaggle/input/datasets/alirakhmaev/ucf-crime-full/Burglary/Burglary006_x264.mp4,Burglary,1,train
/kaggle/input/datasets/alirakhmaev/ucf-crime-full/Burglary/Burglary007_x264.mp4,Burglary,1,train
/kaggle/input/datasets/alirakhmaev/ucf-crime-full/Burglary/Burglary008_x264.mp4,Burglary,1,train
/kaggle/input/datasets/alirakhmaev/ucf-crime-full/Burglary/Burglary009_x264.mp4,Burglary,1,train
/kaggle/input/datasets/alirakhmaev/ucf-crime-full/Burglary/Burglary010_x264.mp4,Burglary,1,train
/kaggle/input/datasets/alirakhmaev/ucf-crime-full/Burglary/Burglary011_x264.mp4,Burglary,1,train
/kaggle/input/datasets/alirakhmaev/ucf-crime-full/Burglary/Burglary012_x264.mp4,Burglary,1,train
/kaggle/input/datasets/alirakhmaev/ucf-crime-full/Burglary/Burglary013_x264.mp4,Burglary,1,train
/kaggle/input/datasets/alirakhmaev/ucf-crime-full/Burglary/Burglary014_x264.mp4,Burglary,1,train
/kaggle/input/datasets/alirakhmaev/ucf-crime-full/Burglary/Burglary016_x264.mp4,Burglary,1,train
/kaggle/input/datasets/alirakhmaev/ucf-crime-full/Burglary/Burglary017_x264.mp4,Burglary,1,train
/kaggle/input/datasets/alirakhmaev/ucf-crime-full/Burglary/Burglary018_x264.mp4,Burglary,1,train
/kaggle/input/datasets/alirakhmaev/ucf-crime-full/Burglary/Burglary019_x264.mp4,Burglary,1,train
/kaggle/input/datasets/alirakhmaev/ucf-crime-full/Burglary/Burglary020_x264.mp4,Burglary,1,train
/kaggle/input/datasets/alirakhmaev/ucf-crime-full/Burglary/Burglary023_x264.mp4,Burglary,1,train
/kaggle/input/datasets/alirakhmaev/ucf-crime-full/Burglary/Burglary025_x264.mp4,Burglary,1,train
/kaggle/input/datasets/alirakhmaev/ucf-crime-full/Burglary/Burglary026_x264.mp4,Burglary,1,train
/kaggle/input/datasets/alirakhmaev/ucf-crime-full/Burglary/Burglary027_x264.mp4,Burglary,1,train
/kaggle/input/datasets/alirakhmaev/ucf-crime-full/Burglary/Burglary028_x264.mp4,Burglary,1,train
/kaggle/input/datasets/alirakhmaev/ucf-crime-full/Burglary/Burglary029_x264.mp4,Burglary,1,train
